"","R1","R2","R3","P5","P7","mm10_unique","mm10_total","mm10_dup","mm10_libsize"
"202","R1.001","R2.002","R3.010","P1.04","P2.04",1,1,0,1
"242","R1.001","R2.002","R3.050","P1.04","P2.04",1,1,0,1
"1609","R1.001","R2.009","R3.073","P1.04","P2.04",1,1,0,1
"1730","R1.001","R2.010","R3.002","P1.04","P2.04",1,1,0,1
"1795","R1.001","R2.010","R3.067","P1.04","P2.04",1,1,0,1
"1804","R1.001","R2.010","R3.076","P1.04","P2.04",1,1,0,1
"2355","R1.001","R2.013","R3.051","P1.04","P2.04",1,1,0,1
"2359","R1.001","R2.013","R3.055","P1.04","P2.04",1,1,0,1
"2373","R1.001","R2.013","R3.069","P1.04","P2.04",1,1,0,1
"2507","R1.001","R2.014","R3.011","P1.04","P2.04",1,1,0,1
"2773","R1.001","R2.015","R3.085","P1.04","P2.04",1,1,0,1
"3139","R1.001","R2.017","R3.067","P1.04","P2.04",2,2,0,2
"4069","R1.001","R2.022","R3.037","P1.04","P2.04",1,1,0,1
"4245","R1.001","R2.023","R3.021","P1.04","P2.04",2,2,0,2
"4270","R1.001","R2.023","R3.046","P1.04","P2.04",1,2,0.5,1
"4669","R1.001","R2.025","R3.061","P1.04","P2.04",1,1,0,1
"5049","R1.001","R2.027","R3.057","P1.04","P2.04",2,2,0,2
"5069","R1.001","R2.027","R3.077","P1.04","P2.04",1,2,0.5,1
"5191","R1.001","R2.028","R3.007","P1.04","P2.04",1,1,0,1
"5259","R1.001","R2.028","R3.075","P1.04","P2.04",1,1,0,1
"5422","R1.001","R2.029","R3.046","P1.04","P2.04",1,1,0,1
"5434","R1.001","R2.029","R3.058","P1.04","P2.04",2,2,0,2
"6038","R1.001","R2.032","R3.086","P1.04","P2.04",1,1,0,1
"6215","R1.001","R2.033","R3.071","P1.04","P2.04",1,2,0.5,1
"6231","R1.001","R2.033","R3.087","P1.04","P2.04",1,1,0,1
"6354","R1.001","R2.034","R3.018","P1.04","P2.04",1,2,0.5,1
"6975","R1.001","R2.037","R3.063","P1.04","P2.04",1,1,0,1
"7177","R1.001","R2.038","R3.073","P1.04","P2.04",1,1,0,1
"7310","R1.001","R2.039","R3.014","P1.04","P2.04",1,1,0,1
"7336","R1.001","R2.039","R3.040","P1.04","P2.04",1,1,0,1
"7367","R1.001","R2.039","R3.071","P1.04","P2.04",1,2,0.5,1
"7538","R1.001","R2.040","R3.050","P1.04","P2.04",1,1,0,1
"7687","R1.001","R2.041","R3.007","P1.04","P2.04",2,2,0,2
"7718","R1.001","R2.041","R3.038","P1.04","P2.04",1,1,0,1
"7766","R1.001","R2.041","R3.086","P1.04","P2.04",1,1,0,1
