"","R1","R2","R3","P5","P7","mm10_unique","mm10_total","mm10_dup","mm10_libsize"
"30","R1.001","R2.001","R3.030","P1.05","P2.04",2,2,0,2
"202","R1.001","R2.002","R3.010","P1.05","P2.04",1,1,0,1
"270","R1.001","R2.002","R3.078","P1.05","P2.04",1,1,0,1
"1183","R1.001","R2.007","R3.031","P1.05","P2.04",1,1,0,1
"1243","R1.001","R2.007","R3.091","P1.05","P2.04",1,2,0.5,1
"1244","R1.001","R2.007","R3.092","P1.05","P2.04",1,1,0,1
"1994","R1.001","R2.011","R3.074","P1.05","P2.04",1,1,0,1
"2172","R1.001","R2.012","R3.060","P1.05","P2.04",1,1,0,1
"2205","R1.001","R2.012","R3.093","P1.05","P2.04",1,1,0,1
"2329","R1.001","R2.013","R3.025","P1.05","P2.04",1,1,0,1
"2359","R1.001","R2.013","R3.055","P1.05","P2.04",1,1,0,1
"2373","R1.001","R2.013","R3.069","P1.05","P2.04",1,1,0,1
"2507","R1.001","R2.014","R3.011","P1.05","P2.04",1,1,0,1
"2531","R1.001","R2.014","R3.035","P1.05","P2.04",1,1,0,1
"2538","R1.001","R2.014","R3.042","P1.05","P2.04",1,1,0,1
"3077","R1.001","R2.017","R3.005","P1.05","P2.04",1,1,0,1
"3271","R1.001","R2.018","R3.007","P1.05","P2.04",1,1,0,1
"3493","R1.001","R2.019","R3.037","P1.05","P2.04",1,1,0,1
"3889","R1.001","R2.021","R3.049","P1.05","P2.04",1,1,0,1
"4038","R1.001","R2.022","R3.006","P1.05","P2.04",1,1,0,1
"4069","R1.001","R2.022","R3.037","P1.05","P2.04",1,1,0,1
"4276","R1.001","R2.023","R3.052","P1.05","P2.04",1,2,0.5,1
"4494","R1.001","R2.024","R3.078","P1.05","P2.04",1,1,0,1
"4669","R1.001","R2.025","R3.061","P1.05","P2.04",1,1,0,1
"4853","R1.001","R2.026","R3.053","P1.05","P2.04",1,3,0.666666666666667,1
"5023","R1.001","R2.027","R3.031","P1.05","P2.04",1,1,0,1
"5060","R1.001","R2.027","R3.068","P1.05","P2.04",1,1,0,1
"5253","R1.001","R2.028","R3.069","P1.05","P2.04",1,1,0,1
"5589","R1.001","R2.030","R3.021","P1.05","P2.04",1,1,0,1
"6000","R1.001","R2.032","R3.048","P1.05","P2.04",1,1,0,1
"6217","R1.001","R2.033","R3.073","P1.05","P2.04",1,1,0,1
"6799","R1.001","R2.036","R3.079","P1.05","P2.04",1,1,0,1
"7106","R1.001","R2.038","R3.002","P1.05","P2.04",1,1,0,1
"7139","R1.001","R2.038","R3.035","P1.05","P2.04",1,1,0,1
"7163","R1.001","R2.038","R3.059","P1.05","P2.04",2,2,0,2
"7167","R1.001","R2.038","R3.063","P1.05","P2.04",1,1,0,1
"7355","R1.001","R2.039","R3.059","P1.05","P2.04",1,1,0,1
"7367","R1.001","R2.039","R3.071","P1.05","P2.04",1,1,0,1
"7684","R1.001","R2.041","R3.004","P1.05","P2.04",1,1,0,1
"7687","R1.001","R2.041","R3.007","P1.05","P2.04",1,3,0.666666666666667,1
"7727","R1.001","R2.041","R3.047","P1.05","P2.04",1,2,0.5,1
"7746","R1.001","R2.041","R3.066","P1.05","P2.04",1,1,0,1
"7766","R1.001","R2.041","R3.086","P1.05","P2.04",1,1,0,1
"7955","R1.001","R2.042","R3.083","P1.05","P2.04",1,1,0,1
"8118","R1.001","R2.043","R3.054","P1.05","P2.04",1,1,0,1
"8146","R1.001","R2.043","R3.082","P1.05","P2.04",3,4,0.25,7
"8160","R1.001","R2.043","R3.096","P1.05","P2.04",1,1,0,1
"8667","R1.001","R2.046","R3.027","P1.05","P2.04",2,2,0,2
"8698","R1.001","R2.046","R3.058","P1.05","P2.04",1,1,0,1
"9267","R1.001","R2.049","R3.051","P1.05","P2.04",1,1,0,1
"9278","R1.001","R2.049","R3.062","P1.05","P2.04",1,1,0,1
"9470","R1.001","R2.050","R3.062","P1.05","P2.04",1,1,0,1
"9613","R1.001","R2.051","R3.013","P1.05","P2.04",1,2,0.5,1
"10372","R1.001","R2.055","R3.004","P1.05","P2.04",1,1,0,1
"10416","R1.001","R2.055","R3.048","P1.05","P2.04",1,1,0,1
"10646","R1.001","R2.056","R3.086","P1.05","P2.04",1,1,0,1
"10756","R1.001","R2.057","R3.004","P1.05","P2.04",1,1,0,1
"10817","R1.001","R2.057","R3.065","P1.05","P2.04",1,1,0,1
"10840","R1.001","R2.057","R3.088","P1.05","P2.04",1,1,0,1
"11193","R1.001","R2.059","R3.057","P1.05","P2.04",1,1,0,1
"11530","R1.001","R2.061","R3.010","P1.05","P2.04",1,1,0,1
"11532","R1.001","R2.061","R3.012","P1.05","P2.04",1,1,0,1
"11756","R1.001","R2.062","R3.044","P1.05","P2.04",1,2,0.5,1
"11966","R1.001","R2.063","R3.062","P1.05","P2.04",1,2,0.5,1
"12111","R1.001","R2.064","R3.015","P1.05","P2.04",1,1,0,1
"12290","R1.001","R2.065","R3.002","P1.05","P2.04",1,1,0,1
"12330","R1.001","R2.065","R3.042","P1.05","P2.04",1,1,0,1
"12705","R1.001","R2.067","R3.033","P1.05","P2.04",1,1,0,1
"12716","R1.001","R2.067","R3.044","P1.05","P2.04",1,1,0,1
"13339","R1.001","R2.070","R3.091","P1.05","P2.04",1,2,0.5,1
"13723","R1.001","R2.072","R3.091","P1.05","P2.04",1,1,0,1
"14048","R1.001","R2.074","R3.032","P1.05","P2.04",1,1,0,1
"14091","R1.001","R2.074","R3.075","P1.05","P2.04",1,1,0,1
"14444","R1.001","R2.076","R3.044","P1.05","P2.04",1,1,0,1
"14600","R1.001","R2.077","R3.008","P1.05","P2.04",1,1,0,1
"14665","R1.001","R2.077","R3.073","P1.05","P2.04",1,1,0,1
"14827","R1.001","R2.078","R3.043","P1.05","P2.04",1,1,0,1
"15413","R1.001","R2.081","R3.053","P1.05","P2.04",2,2,0,2
