# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "16" "-Q" "0" "-M" "-a" "/mnt/Scripts/SHARE-seq-alignment//gtf/mm10.gencode.gtf" "-t" "gene" "-g" "gene_name" "-o" "example_RNA.mm10.feature.count.txt" "-R" "BAM" "example_RNA.mm10.exon.featureCounts.bam" 
Geneid	Chr	Start	End	Strand	Length	example_RNA.mm10.exon.featureCounts.bam
4933401J01Rik	chr1	3073253	3074322	+	1070	0
Gm26206	chr1	3102016	3102125	+	110	0
Xkr4	chr1	3205901	3671498	-	465598	2
Gm18956	chr1	3252757	3253236	+	480	0
Gm37180	chr1	3365731	3368549	-	2819	0
Gm37363	chr1	3375556	3377788	-	2233	0
Gm37686	chr1	3464977	3467285	-	2309	0
Gm1992	chr1	3466587	3513553	+	46967	0
Gm37329	chr1	3512451	3514507	-	2057	0
Gm7341	chr1	3531795	3532720	+	926	0
Gm38148	chr1	3592892	3595903	-	3012	0
Gm19938	chr1	3647309	3658904	-	11596	0
Gm10568	chr1	3680155	3681788	+	1634	0
Gm38385	chr1	3752010	3754360	+	2351	0
Gm27396	chr1	3783876	3783933	-	58	0
Gm37381	chr1	3905739	3986215	-	80477	0
Rp1	chr1	3999557	4409241	-	409685	3
Gm6101	chr1	4256234	4260519	-	4286	0
Gm37483	chr1	4363346	4364829	-	1484	0
Sox17	chr1	4490931	4497354	-	6424	0
Gm37587	chr1	4496551	4499558	+	3008	0
Gm7357	chr1	4522905	4526737	+	3833	0
Gm22307	chr1	4529017	4529123	+	107	0
Gm38076	chr1	4534837	4535286	-	450	0
Gm37323	chr1	4583129	4586252	-	3124	0
Gm7369	chr1	4610471	4611406	+	936	0
Gm6085	chr1	4687934	4689403	-	1470	0
Gm6119	chr1	4692219	4693424	-	1206	0
Gm25493	chr1	4723277	4723379	-	103	0
Gm2053	chr1	4735046	4735676	-	631	0
Gm6123	chr1	4771131	4772199	+	1069	0
Mrpl15	chr1	4773206	4785739	-	12534	0
Gm37144	chr1	4778063	4779212	-	1150	0
Lypla1	chr1	4807788	4848410	+	40623	0
Gm37988	chr1	4807892	4886770	+	78879	0
Tcea1	chr1	4857814	4897909	+	40096	1
Gm6104	chr1	4880049	4880651	-	603	0
Gm37277	chr1	4905751	4906861	-	1111	0
Rgs20	chr1	4909576	5070285	-	160710	2
Gm17100	chr1	4927028	4927299	-	272	0
Gm37079	chr1	4938576	4940710	-	2135	0
Gm16041	chr1	4970857	4976820	+	5964	0
Gm17101	chr1	5063060	5064647	+	1588	0
Atp6v1h	chr1	5070018	5162529	+	92512	2
Gm7182	chr1	5276106	5277337	-	1232	0
Gm37567	chr1	5307739	5310017	+	2279	0
Gm38264	chr1	5403547	5405578	+	2032	0
Oprk1	chr1	5588466	5606131	+	17666	0
Gm36965	chr1	5617837	5618230	-	394	0
Gm22463	chr1	5644645	5644745	-	101	0
Gm37429	chr1	5842874	5844672	-	1799	0
Npbwr1	chr1	5913707	5917398	-	3692	0
Gm19214	chr1	6048963	6050045	-	1083	0
Rb1cc1	chr1	6206197	6276648	+	70452	0
4732440D04Rik	chr1	6209866	6215293	-	5428	0
Alkal1	chr1	6359218	6394731	+	35514	0
Gm2147	chr1	6380394	6381032	+	639	0
Gm7417	chr1	6382634	6383106	-	473	0
